condition,condition_id,conversation_id,from,to,from_turn,to_turn,from_slot,to_slot,pair_type,adjacent_distance,x,y,xend,yend
AI-AI,ai-ai,conv_a5f55403da744ff0b966103e3911c44e,398,399,1.0,2.0,author_1,author_2,between_exchange,0.15217001081654602,0.13251185787215788,-0.01538000552551103,0.1686301188907348,0.11148313544346966
AI-AI,ai-ai,conv_a731e4cc684f448587f5085e647f5953,428,429,7.0,8.0,author_2,author_1,between_exchange,0.33952645814892246,0.12000606795378736,0.25181344953985463,-0.020741406309320965,0.11601632893822021
AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,92,93,1.0,2.0,author_1,author_2,between_exchange,0.39820954962545296,-0.004827202402182548,0.14903284453054175,0.16856533617096425,0.029132952793829055
AI-AI,ai-ai,conv_1b0e1bf3782340208c862eb1953a6489,117,118,5.0,5.0,author_1,author_2,within_exchange,0.3194319038310277,0.3863392439138491,-0.08118360363862706,0.043844807573186484,-0.08169741066894241
AI-AI,ai-ai,conv_5f83922b1e334cfcb374e90c11c81c1e,281,282,6.0,6.0,author_1,author_2,within_exchange,0.2525227939861032,0.3599917232662445,0.07363540167213611,0.22262186123969377,0.02349035711705835
AI-AI,ai-ai,conv_c5addb32570d400db0feca8365ceaa9a,511,512,4.0,4.0,author_1,author_2,within_exchange,0.2702693668413475,-0.07082300206446884,0.14278591891467537,-0.21876297686897,0.025242374889314474
AI-AI,ai-ai,conv_8947486e0260400c9e413aead1502092,389,390,6.0,6.0,author_1,author_2,within_exchange,0.36229930135439814,0.1848585632166514,0.09689257782858046,0.1700009340522042,0.08544258421900519
AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,192,193,6.0,7.0,author_1,author_2,between_exchange,0.29545219678990464,0.05873815395361551,0.10520153117852761,0.32536589916975056,0.011637878459247797
AI-AI,ai-ai,conv_272a28c1cb76483fb0bcc11661b06dbc,154,155,5.0,6.0,author_2,author_1,between_exchange,0.2516743688423806,0.26115736475688134,0.12364273233801504,0.1907542779978902,0.07744995492059492
AI-AI,ai-ai,conv_c7841512d38b483c928344d48d5caa78,530,531,4.0,5.0,author_2,author_1,between_exchange,0.3115864618763463,0.032011707183400066,-0.12667543019016375,0.2223362263794324,-0.19845775482706035
AI-AI,ai-ai,conv_c5addb32570d400db0feca8365ceaa9a,509,510,3.0,3.0,author_1,author_2,within_exchange,0.22856383155856297,-0.025149545863754168,0.19028796330688097,-0.12635758634869196,0.1628934868567262
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,78,79,3.0,4.0,author_1,author_2,between_exchange,0.2819078212409277,-0.08811527550541853,0.2743235042425445,0.0318856736397333,0.1441054415627614
AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,42,43,3.0,4.0,author_1,author_2,between_exchange,0.4029736457654518,-0.2229201411276847,0.23784912133370104,0.07504148135395367,0.08138609218731449
AI-AI,ai-ai,conv_d6905a1ca5714753a29b07b1344d1eb0,565,566,4.0,4.0,author_2,author_1,within_exchange,0.24446486054130234,0.010634635755554693,0.028091055313808788,0.150745871594238,0.09172638683059152
AI-AI,ai-ai,conv_bd42668068fc4f41a9b41e52a30aa976,467,468,9.0,9.0,author_1,author_2,within_exchange,0.3876792710707123,-0.09103873826983848,-0.04246691708730592,0.11079641751793726,0.20137014029965897
AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,70,71,8.0,9.0,author_2,author_1,between_exchange,0.27577063177047034,0.180555857826092,-0.19355825978217653,0.23780459064092388,-0.1086285140098612
AI-AI,ai-ai,conv_ec61d7cb57094812b5ed7b7b55c18b32,646,647,8.0,9.0,author_2,author_1,between_exchange,0.2184889654458213,0.0864763575953576,-0.15523768479274336,0.12741951226384834,-0.1581566496377317
AI-AI,ai-ai,conv_25b3327db15a448db32cb8f42d05655e,143,144,9.0,9.0,author_2,author_1,within_exchange,0.2486577846294875,0.3085651853747179,-0.025051860616209898,0.20154367858570887,-0.030658681346384574
AI-AI,ai-ai,conv_59e7ea5807ff4367bf49dd3541d68e49,263,264,6.0,6.0,author_1,author_2,within_exchange,0.28642557035946403,0.12698597012598486,-0.003079377885485889,0.1744546209148547,0.01864354252436752
