turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
68,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,14,7.0,author_2,0.14693735684919892,-0.14781860375732836
69,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,15,8.0,author_1,0.2710976721062544,-0.05034881618505206
70,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,16,8.0,author_2,0.180555857826092,-0.19355825978217653
71,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,17,9.0,author_1,0.23780459064092388,-0.1086285140098612
72,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,18,9.0,author_2,0.18444354086878878,-0.19970623793630235
73,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,1,1.0,author_2,0.026068033740484664,-0.06430538855680104
74,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,2,1.0,author_1,0.02735365899007935,0.04241917056027169
75,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,3,2.0,author_2,0.03214540814977573,0.20794076549783594
76,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,4,2.0,author_1,0.19818205884979964,0.11508214386307136
77,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,5,3.0,author_2,-0.04623203214013161,0.21780147069873707
78,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,6,3.0,author_1,-0.08811527550541853,0.2743235042425445
79,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,7,4.0,author_2,0.0318856736397333,0.1441054415627614
80,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,8,4.0,author_1,-0.01862374260469668,0.0639985221342213
81,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,9,5.0,author_2,0.09254582451796532,0.09542447145369415
82,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,10,5.0,author_1,0.11654093222022038,0.22041000355110807
83,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,11,6.0,author_2,-0.16889616214963912,0.06377015803927939
84,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,12,6.0,author_1,-0.01118220234626139,0.07472622716417711
85,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,13,7.0,author_2,0.06483364377934098,0.034267720765934685
86,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,14,7.0,author_1,0.1078360917460689,0.07403436965933805
87,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,15,8.0,author_2,-0.025097784797856716,0.08384104383507121
88,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,16,8.0,author_1,0.1451474022926187,0.12576685667962956
89,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,17,9.0,author_2,0.03264738804705408,-0.035772225743991005
90,AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,18,9.0,author_1,0.0026506587654213706,-0.10129097364435927
91,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,1,1.0,author_2,0.023286247563841053,-0.012698016387111705
92,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,2,1.0,author_1,-0.004827202402182548,0.14903284453054175
93,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,3,2.0,author_2,0.16856533617096425,0.029132952793829055
94,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,4,2.0,author_1,-0.016746299066576473,-0.004621382524139444
95,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,5,3.0,author_2,0.06518905335564448,0.08372343603599113
96,AI-AI,ai-ai,conv_1a4cdabdded94039ac38c6be264efe9f,6,3.0,author_1,0.05422012959957587,0.1383572849194519
