s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;;;;;;;;;;;;;2;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;6;8;8;I love that my partner included twists to the story, without completely disregarding the direction I had started it. We collaborated really well and I was almost disappointed when the story ended. Super cool experiment!;8;8;;1;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;8;8;;6;8;;1;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;35;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;49;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;35;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
